	F05WBS_1.c3d	F05WBS_1.c3d	F05WBS_1.c3d	F05WBS_1.c3d	F05WBS_1.c3d	F05WBS_1.c3d	F05WBS_2.c3d	F05WBS_2.c3d	F05WBS_2.c3d	F05WBS_2.c3d	F05WBS_2.c3d	F05WBS_2.c3d	F05WBS_3.c3d	F05WBS_3.c3d	F05WBS_3.c3d	F05WBS_3.c3d	F05WBS_3.c3d	F05WBS_3.c3d	F05WBS_4.c3d	F05WBS_4.c3d	F05WBS_4.c3d	F05WBS_4.c3d	F05WBS_4.c3d	F05WBS_4.c3d	F05WBS_5.c3d	F05WBS_5.c3d	F05WBS_5.c3d	F05WBS_5.c3d	F05WBS_5.c3d	F05WBS_5.c3d
	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-21.35741	9.02030	15.58839	154.63402	1.82146	82.87583	-23.33089	10.97933	14.25133	134.10178	1.09291	116.85617	-22.32703	2.40393	17.30982	161.12076	2.83640	45.09821	-21.25136	12.63123	13.86751	117.51085	-1.99164	95.55114	-23.11558	22.31906	16.34882	116.43731	-0.30854	111.18182
2	-21.23831	12.07419	17.59020	153.28531	2.56620	49.42418	-23.20054	11.94319	16.06286	140.88594	2.25388	83.26151	-22.23725	14.39285	19.35130	153.43712	3.05136	-2.11888	-21.08866	14.92521	15.45114	118.84181	-0.91711	86.58195	-22.81821	26.86541	17.79706	113.02287	0.83261	85.50053
3	-21.04454	22.10207	19.53561	143.98434	2.85359	11.53977	-23.01671	19.84294	17.94096	141.18381	2.90374	38.27844	-21.95654	29.24660	21.20120	135.03232	2.75634	-42.32272	-20.89858	20.59266	17.05681	117.11724	-0.02337	64.08701	-22.45115	35.35450	19.20754	108.50787	1.55634	46.89711
4	-20.68456	38.11205	21.28960	125.32308	2.69796	-23.52604	-22.68387	34.85904	19.74401	130.47832	2.99605	-6.38624	-21.44158	44.41380	22.73698	108.11627	2.07356	-69.41805	-20.62109	30.38135	18.59219	108.89374	0.56309	32.40747	-21.95414	47.61122	20.52298	98.46645	1.78084	4.94590
5	-20.08213	56.51756	22.73403	99.19064	2.17967	-50.90301	-22.11040	53.57763	21.31261	108.67746	2.60772	-42.08085	-20.68863	58.13351	23.88712	77.62777	1.15255	-83.65730	-20.17810	43.16898	19.93839	92.27480	0.76623	-1.56856	-21.26799	61.43148	21.65781	81.34491	1.54080	-31.33393
6	-19.21170	73.19579	23.80849	70.42866	1.40120	-69.42135	-21.25393	71.23511	22.53030	80.21346	1.87674	-65.62449	-19.73279	69.88326	24.64488	48.79153	0.11556	-88.32764	-19.51065	56.51728	20.99430	69.27898	0.58384	-31.19078	-20.36423	74.36089	22.53836	59.32802	0.94322	-57.26374
7	-18.11148	85.29836	24.51885	43.92118	0.45338	-80.15942	-20.14069	84.61201	23.35431	51.21195	0.94060	-78.17944	-18.63447	79.80938	25.05955	25.07154	-0.95493	-86.99348	-18.60725	69.11459	21.71068	44.05189	0.07091	-52.90238	-19.25507	85.35500	23.12658	36.00447	0.11358	-72.19762
8	-16.86522	92.33507	24.91456	22.00400	-0.58920	-84.52097	-18.84719	93.37655	23.81399	26.26434	-0.09288	-82.52488	-17.45845	88.03075	25.21173	7.70166	-2.01204	-82.54874	-17.49361	81.54751	22.08409	19.81884	-0.68333	-65.58875	-17.98087	94.77596	23.41915	13.95480	-0.83257	-77.67434
9	-15.55632	95.98213	25.05360	4.23750	-1.66377	-83.66423	-17.46157	99.01850	23.97952	6.41202	-1.14561	-80.92662	-16.25468	94.30991	25.18491	-4.08764	-3.03418	-76.82632	-16.21064	94.30453	22.14344	-1.54716	-1.57629	-70.08009	-16.59228	102.97936	23.43767	-5.42478	-1.80391	-76.23583
10	-14.23230	98.31555	24.97780	-10.87536	-2.71575	-78.69424	-16.04780	103.20861	23.91382	-10.06046	-2.15640	-74.96633	-15.05215	98.06119	25.03992	-12.45083	-4.01057	-70.76595	-14.80382	106.15805	21.94133	-19.09427	-2.51715	-68.43362	-15.14236	109.48895	23.22286	-21.40119	-2.73865	-70.58833
11	-12.90910	100.19037	24.71359	-24.11578	-3.70148	-71.23187	-14.63324	106.86861	23.65091	-24.97117	-3.08112	-66.61800	-13.86355	99.04142	24.80517	-19.56813	-4.93207	-64.80473	-13.32185	115.07809	21.53994	-32.74946	-3.43511	-62.82043	-13.67999	113.51906	22.82533	-33.84587	-3.60251	-63.24314
12	-11.59476	101.21980	24.28757	-35.38746	-4.59710	-63.25951	-13.22357	109.59547	23.20707	-39.00847	-3.90164	-57.98890	-12.69101	97.97332	24.48732	-26.60619	-5.78711	-58.96825	-11.81244	119.90340	20.99710	-43.14013	-4.27846	-55.25250	-12.24266	114.60553	22.29510	-43.04219	-4.38602	-56.27948
13	-10.30066	100.93690	23.73227	-44.42783	-5.39974	-56.19653	-11.82214	110.77747	22.59407	-51.98986	-4.62118	-50.30975	-11.53124	96.13005	24.08742	-33.77443	-6.56170	-53.12901	-10.31403	120.63485	20.35598	-51.27524	-5.01844	-47.56598	-10.85689	112.51319	21.67653	-49.35727	-5.09763	-50.86921
14	-9.03665	99.71351	23.08337	-51.19996	-6.11859	-50.48361	-10.43076	110.75476	21.82825	-63.25204	-5.25235	-43.89465	-10.37711	94.64249	23.60790	-41.01741	-7.24466	-47.37475	-8.84972	117.99120	19.63840	-58.18547	-5.65206	-41.08551	-9.54403	107.63734	21.00703	-53.32819	-5.75240	-47.13294
15	-7.80145	98.54366	22.37229	-56.25068	-6.76581	-45.93764	-9.04917	110.04626	20.93634	-72.17258	-5.80895	-38.60418	-9.21513	94.33611	23.04923	-48.47711	-7.83260	-42.04948	-7.42728	113.08730	18.84737	-64.49162	-6.19531	-36.38067	-8.31230	101.58084	20.31214	-55.96053	-6.36186	-44.48066
16	-6.57935	98.11483	21.61632	-60.40476	-7.35210	-42.21962	-7.67580	109.29678	19.95086	-78.73338	-6.30202	-34.19915	-8.02375	95.74996	22.40710	-56.08253	-8.33171	-37.61778	-6.04668	107.26573	17.98114	-70.16530	-6.67115	-33.40473	-7.14761	95.88055	19.60073	-58.18262	-6.92932	-42.18967
17	-5.35162	98.44431	20.82152	-64.09106	-7.88529	-39.05502	-6.30179	108.96513	18.89965	-83.37524	-6.74058	-30.58323	-6.78079	98.71483	21.68079	-63.09875	-8.75793	-34.42258	-4.70613	101.87743	17.04693	-74.59844	-7.09994	-31.44325	-6.02750	91.13549	18.87208	-60.18817	-7.45303	-39.83610
18	-4.10461	99.44538	19.99100	-67.36674	-8.37065	-36.28718	-4.92014	108.30478	17.80391	-86.34152	-7.13402	-27.74633	-5.47614	102.23927	20.88066	-68.49623	-9.13419	-32.42446	-3.40334	97.74403	16.06828	-77.05219	-7.48959	-29.27434	-4.93278	87.75500	18.12588	-61.76035	-7.93123	-37.28086
