	F02WBS_1.c3d	F02WBS_1.c3d	F02WBS_1.c3d	F02WBS_1.c3d	F02WBS_1.c3d	F02WBS_1.c3d	F02WBS_2.c3d	F02WBS_2.c3d	F02WBS_2.c3d	F02WBS_2.c3d	F02WBS_2.c3d	F02WBS_2.c3d	F02WBS_3.c3d	F02WBS_3.c3d	F02WBS_3.c3d	F02WBS_3.c3d	F02WBS_3.c3d	F02WBS_3.c3d	F02WBS_4.c3d	F02WBS_4.c3d	F02WBS_4.c3d	F02WBS_4.c3d	F02WBS_4.c3d	F02WBS_4.c3d	F02WBS_5.c3d	F02WBS_5.c3d	F02WBS_5.c3d	F02WBS_5.c3d	F02WBS_5.c3d	F02WBS_5.c3d
	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
1	-25.50025	10.90437	5.24141	63.02973	-0.13437	106.84377	-26.10100	34.38610	6.00796	35.72481	-1.12900	138.94084	-25.37919	14.33631	5.67415	66.65218	0.44621	154.16434	-25.46344	10.61903	5.04917	52.35399	0.92220	134.66438	-24.88241	28.87364	3.24416	8.03494	-1.21806	90.73764
2	-25.28394	15.24210	5.96971	68.80846	1.06396	133.79343	-25.67586	31.85749	6.59856	54.78998	0.36665	158.49350	-25.12499	14.89478	6.63394	85.52830	2.05854	156.99799	-25.26942	6.95375	5.78795	74.77456	2.35218	148.58972	-24.54597	27.82599	3.65427	33.55996	-0.13423	122.98248
3	-24.95740	18.35267	6.81851	77.42118	2.43279	142.65411	-25.24368	27.66630	7.41450	77.20428	1.95078	157.02219	-24.82209	14.79344	7.79901	105.37527	3.55099	138.41927	-25.07899	2.05669	6.76437	98.69711	3.78740	140.34023	-24.19412	25.33967	4.34059	56.14145	1.26987	146.82584
4	-24.53748	19.22807	7.80282	91.05869	3.73553	129.83414	-24.82640	22.77193	8.44884	102.07843	3.37521	132.25514	-24.47463	14.90375	9.14377	124.27390	4.70921	102.02505	-24.90804	-3.53083	7.97203	124.34151	4.97628	109.85113	-23.84449	21.45683	5.25176	78.54101	2.83290	151.85313
5	-24.05828	17.67518	8.94710	109.14843	4.75931	98.31333	-24.43519	18.38287	9.68880	126.25658	4.42392	88.72491	-24.08169	16.29137	10.62499	138.52820	5.40547	55.32726	-24.76637	-8.42809	9.40312	149.35794	5.72981	63.57411	-23.51426	16.43033	6.36461	103.01422	4.30434	132.93962
6	-23.55949	14.99155	10.26021	127.74150	5.37864	55.12314	-24.06672	15.77291	11.10134	145.11241	4.97118	35.41867	-23.63638	19.88276	12.17490	144.17773	5.60994	6.48958	-24.64972	-10.93078	11.02718	169.27689	5.96603	10.83203	-23.21864	10.90316	7.67369	128.99519	5.43409	92.88628
7	-23.06812	13.50818	11.71381	141.10980	5.55651	7.79646	-23.70140	16.05806	12.62608	154.19434	4.99430	-17.84802	-23.12665	26.22188	13.70637	138.73929	5.36597	-37.84740	-24.53640	-9.72075	12.78086	179.21007	5.69819	-39.65182	-22.96556	6.00690	9.16633	152.56503	6.05635	40.43825
8	-22.58669	15.31831	13.23868	144.04716	5.31370	-37.12118	-23.30483	19.88913	14.17912	150.63889	4.55214	-63.30993	-22.53758	35.32344	15.12672	121.99669	4.75784	-73.25939	-24.38782	-4.19931	14.57156	175.49173	5.00269	-81.42366	-22.74747	3.21012	10.80081	168.11093	6.12081	-13.93030
9	-22.09408	21.31670	14.73662	133.71538	4.70786	-74.37681	-22.83438	27.22462	15.66400	133.98119	3.75082	-96.56849	-21.85545	46.68714	16.35201	95.81548	3.88766	-97.54636	-24.15366	5.45617	16.28908	156.80067	3.99045	-110.86038	-22.53580	3.86488	12.49996	170.74525	5.67611	-61.41820
10	-21.55693	31.14979	16.10069	110.62233	3.82296	-100.68294	-22.25030	37.40020	16.98536	106.34487	2.71265	-116.46101	-21.07191	59.57834	17.31749	63.66895	2.86018	-110.55981	-23.78290	18.43539	17.82111	124.80477	2.78356	-127.09176	-22.28451	8.73396	14.15978	158.17366	4.83334	-96.63407
11	-20.94270	43.77760	17.23738	78.49640	2.75593	-115.25842	-21.52663	49.48119	18.06279	71.92630	1.55464	-124.16931	-20.18616	73.28595	17.98466	29.92798	1.77038	-113.81828	-23.23769	33.73793	19.06992	84.02177	1.49701	-131.43324	-21.94171	17.81985	15.66775	131.63182	3.72807	-117.88867
12	-20.22887	58.00629	18.08471	43.06105	1.60167	-119.52047	-20.65720	62.64748	18.84239	35.82024	0.37571	-122.25526	-19.20572	87.01221	18.34438	-1.28963	0.69408	-109.83226	-22.50254	50.52827	19.96678	40.62044	0.22587	-126.61525	-21.46378	30.49201	16.92443	95.65490	2.49032	-126.44125
13	-19.40739	72.69812	18.62067	10.12345	0.44120	-116.20349	-19.65493	76.29173	19.30307	2.60297	-0.75026	-113.86324	-18.14782	99.65370	18.41502	-27.13387	-0.31630	-101.33546	-21.58677	67.97624	20.48266	0.56095	-0.96191	-115.94117	-20.82662	45.77574	17.86216	56.55243	1.22578	-125.27154
14	-18.48494	86.78765	18.86101	-16.21954	-0.66583	-108.37653	-18.54712	89.75851	19.45602	-24.67883	-1.77694	-102.07967	-17.03934	109.97095	18.23666	-46.26601	-1.23111	-90.74593	-20.52133	84.90147	20.63207	-31.92809	-2.02706	-102.52665	-20.02911	62.62667	18.45544	20.23203	0.00869	-117.82850
15	-17.47963	99.29247	18.84822	-34.46233	-1.68417	-98.64974	-17.37022	102.10664	19.33882	-44.71508	-2.68410	-89.48530	-15.91189	117.06342	17.86351	-58.57479	-2.04030	-79.93663	-19.35226	99.82626	20.46743	-54.85707	-2.95599	-88.85411	-19.08829	79.88265	18.72003	-9.40205	-1.11617	-107.14352
16	-16.41587	109.34612	18.63659	-45.38212	-2.60072	-88.78558	-16.16418	112.27913	19.00665	-57.56338	-3.47296	-77.91489	-14.79366	120.66046	17.35499	-64.85322	-2.74886	-70.16673	-18.13147	111.52820	20.06474	-68.23909	-3.75532	-76.62498	-18.03352	96.03026	18.70310	-30.83943	-2.12800	-95.49363
17	-15.31928	116.31104	18.27953	-50.95605	-3.41827	-79.73669	-14.96567	119.49391	18.52148	-64.20768	-4.15916	-68.37209	-13.70281	121.05722	16.76675	-66.50908	-3.37123	-62.09628	-16.90546	119.59104	19.50515	-73.59525	-4.44494	-66.72708	-16.90166	109.36392	18.46935	-44.52128	-3.02433	-84.39872
18	-14.21215	120.04015	17.82287	-53.33261	-4.14827	-71.88110	-13.80227	123.50269	17.94110	-66.23329	-4.76474	-61.08360	-12.64507	118.89173	16.14424	-65.28687	-3.92586	-55.89686	-15.70554	124.37519	18.85867	-73.34850	-5.05001	-59.26079	-15.73029	118.60011	18.08621	-52.07227	-3.81510	-74.72466
19	-13.10813	121.04469	17.30239	-54.38568	-4.80486	-65.21795	-12.68849	124.65688	17.31082	-65.54066	-5.31091	-55.69695	-11.61525	114.99892	15.51955	-63.04803	-4.43111	-51.41115	-14.54406	126.46446	18.17505	-70.21170	-5.59326	-53.70105	-14.55019	123.40622	17.61175	-55.54412	-4.51684	-66.82394
